"genes" "cell_type"
"70" "ITGB3" "Megakaryocyte"
"71" "IFIT5" "ISG expressing immune cells"
"72" "CD3E" "Classical Monocytes"
"73" "CD3D" "Classical Monocytes"
"74" "CAMP" "Neutrophils"
"75" "GPM6B" "Plasmacytoid Dendritic cells"
"76" "CEBPE" "Eosinophils"
"77" "CD3G" "Classical Monocytes"
"78" "ALCAM" "Progenitor cells"
"79" "FCGR1A" "Macrophages"
"80" "RUVBL1" "Erythroid-like and erythroid precursor cells"
"81" "SPN" "Granulocytes"
"82" "CCR7" "Naive CD4+ T cells"
"83" "IL7R" "Naive CD4+ T cells"
"84" "CD44" "Cancer cells"
"85" "GATA2" "Basophils"
"86" "FCER1G" "Non-classical monocytes"
"87" "RSAD2" "ISG expressing immune cells"
"88" "SHISA5" "Naive CD4+ T cells"
"89" "GP9" "Megakaryocyte"
"90" "FCGR2A" "Mast cells"
"91" "FCGR3A" "Macrophages"
"92" "ICAM1" "Endothelial"
"93" "FCGR2B" "Mast cells"
"94" "ITGA6" "HSC/MPP cells"
"95" "FCGR3B" "Macrophages"
"96" "RHOC" "Non-classical monocytes"
"97" "FOXP3" "Naive CD4+ T cells"
"98" "ITGB1" "Progenitor cells"
"99" "FUT4" "Eosinophils"
"100" "STMN1" "Progenitor cells"
"101" "CD200" "Myeloid Dendritic cells"
"102" "CD68" "Macrophages"
"103" "CD36" "Erythroid-like and erythroid precursor cells"
"104" "IL2RA" "Mast cells"
"105" "LTB" "Naive CD4+ T cells"
"106" "CD52" "Naive CD4+ T cells"
"107" "LST1" "Non-classical monocytes"
"108" "VPREB1" "Pro-B cells"
"109" "ALDH1A1" "Progenitor cells"
"110" "ABCG2" "HSC/MPP cells"
"111" "CCR6" "Naive CD4+ T cells"
"112" "IGLL5" "Pro-B cells"
"113" "PRDX4" "Plasma B cells"
"114" "CD9" "Pro-B cells"
"115" "MCAM" "Endothelial"
"116" "CRHBP" "Progenitor cells"
"117" "ACSM3" "Pre-B cells"
"118" "CD79B" "Pro-B cells"
"119" "CST3" "Myeloid Dendritic cells"
"120" "CD63" "Basophils"
"121" "CD27" "Pro-B cells"
"122" "VPREB3" "Pro-B cells"
"123" "CD247" "Classical Monocytes"
"124" "ASPM" "HSC/MPP cells"
"125" "LYZ" "Neutrophils"
"126" "TFRC" "Erythroid-like and erythroid precursor cells"
"127" "CTLA4" "Naive CD4+ T cells"
"128" "ENG" "Endothelial"
"129" "CD14" "Macrophages"
"130" "TCL1A" "Pro-B cells"
"131" "FKBP11" "Plasma B cells"
"132" "DERL3" "Plasma B cells"
"133" "CCL3" "ISG expressing immune cells"
"134" "CCL4" "ISG expressing immune cells"
"135" "PTPRC" "Endothelial"
"136" "CCL3L3" "ISG expressing immune cells"
"137" "CXCR4" "Megakaryocyte"
"138" "SCT" "Plasmacytoid Dendritic cells"
"139" "ITGA4" "Erythroid-like and erythroid precursor cells"
"140" "OASL" "ISG expressing immune cells"
"141" "CD33" "Mast cells"
"142" "GP1BA" "Megakaryocyte"
"143" "CD4" "CD4+ NKT-like cells"
"144" "GNG11" "Platelets"
